"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on August 19, 2020","Bubbliciousbubbleyum","yes","yes","These Cannot be Towels 😂🤦🏽‍♀️ JOKE!!!","2 Towels very thin2 Hand towels very thin4 Rags very thinColor: Was just like the picture really like the color I ordered MaroonAbsorbency:is okay I don’t know I’m kinda clueless gave 2 starsSoftness: I gave 4 starsThickness : 1 star these towels are not at all thick what so ever the picture show for this product is not accurate at all dont even know if there really worth the money spent the cost should have been $15 probably not even that buy at own riskUPDATE!!!!9/29/20 The dye/ink comes of these towels 😳",5,"https://images-na.ssl-images-amazon.com/images/I/616ymCI697L.jpg , https://images-na.ssl-images-amazon.com/images/I/618Jy+QeORL.jpg , https://images-na.ssl-images-amazon.com/images/I/61UUY6Ua2QL.jpg","-","https://www.amazon.com/gp/customer-reviews/RD6C4M2F2Q7FJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07TSPRQMP","Color: Burgundy"
"Reviewed in the United States on December 12, 2019","Stephen Henkel","yes","yes","Not as pictured.","For the price, they're towels. They weren't lux and thick the way they appear in the picture, they aren't very big, the color wasn't completely off but still not very well saturated like the picture. If you need cheap towels, these aren't great and they aren't terrible.",3,"-","-","https://www.amazon.com/gp/customer-reviews/RP0UWKKMB7YTQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07GHD4S4H","Color: Navy"
"Reviewed in the United States on April 3, 2020","EliGoodVibez","yes","yes","Do not recommend","The product description is inaccurate. The towels were not oversized, they were just average size. Also, all the towels are extremely thin and cheap. Each time I’ve used the towel to dry off after a shower I’m left with a ton of black fuzz. Do not recommend if you’re looking for luxury.",2,"-","-","https://www.amazon.com/gp/customer-reviews/R5MGHK665CXBZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07Y22QK1S","Color: Black"
"Reviewed in the United States on March 11, 2020","De’Jon mejia","yes","yes","So thin you can see right through them!","Just opened package and was disappointed. I knew for the price I wasn’t going to get the greatest of towels, but these were the worst towels ever! I have seriously bought better towels at the 99 cent store and have had them for years. These towels are NOT fluffy like it shows in the pictures and if you hold them up, you can see right through them! That right there is what made my decision to return them without even giving them a wash. Don’t waste your time or money on these towels, they look like towels that would fall apart after the first wash. I wish I read the reviews on this set but after looking for hours trying to buy stuff for my trailer I gave up reading every review on every product. Lol!",1,"-","-","https://www.amazon.com/gp/customer-reviews/R3Q5CDDQA5S9U3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07GH7Y4W1","Color: Teal"
"Reviewed in the United States on December 23, 2020","I love my Vizsla","yes","yes","Lint, pilling, cotton balls and 'unthreading'","Without question, the worst towels I've ever gotten. You never think about towels. They just hang in the bathroom and keep you dry. After one washing these towels  filled both my washing machine and dryer with brown lint balls, the lint trap had to be cleaned out 3 times in the first washing, and when I took out the towels, they were pilled, and the sewing was unravelling on some of the pieces. I included a picture because I included a few other things in the wash with the towels and EVERYTHING is covered in lint. Very cheap. They couldn't even be considered rag quality. Poor quality cotton, thin, not absorbent. I included a picture of what the lint looked like on a couple of other things coming out of the machine. I guess I was crazy to think you could wash dark towels with other dark things. When I looked at the 4 1/2 stars, I was stumped. How these got any rating at all is beyond me.",1,"https://images-na.ssl-images-amazon.com/images/I/81W4cFqpfBL.jpg","-","https://www.amazon.com/gp/customer-reviews/R29OU917GGMLZN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B082QRRSF6","Color: Chocolate Brown"
"Reviewed in Canada on May 23, 2019","Dominique Noel","yes","yes","Towels almost shredded after first wash","I haven't even used the towels yet! I washed it before using it as instructed, with cold water in the delicate cycle. When I opened my washer it was full of little bits of towel as shown in the picture. Then when I took them out of the dryer, the towels look as if they've been washed 100 of times. I'm very disappointed in this, wish I could get my money back.",1,"https://images-na.ssl-images-amazon.com/images/I/815KXf0opbL.jpg , https://images-na.ssl-images-amazon.com/images/I/81rN8j0pBML.jpg","-","-","B07GHD4S4H","Color: Navy"
"Reviewed in the United States on July 7, 2020","Jessica Chism","yes","yes","These towels!!!","I ordered these towels because it was time for new towels in the house. I was a little afraid because all towels are not good towels. These towels are thick and soft. The colors are beautiful and they do not fade or shrink after wash. I love the them! I would recommend these to anyone.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3LDXWQHSEOLTJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07TSPQ5B8","Color: Coral Orange"
"Reviewed in the United States on March 12, 2019","Chavonne","yes","yes","Beautiful color","Beautiful, perfect for my bathroom.",5,"https://images-na.ssl-images-amazon.com/images/I/719H5Fu7xSL.jpg , https://images-na.ssl-images-amazon.com/images/I/81d9NocAxlL.jpg , https://images-na.ssl-images-amazon.com/images/I/81kJ0TNGBfL.jpg","-","https://www.amazon.com/gp/customer-reviews/READI8DIVJ2OC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07GH7Y4W1","Color: Teal"
"Reviewed in the United States on May 29, 2020","James","yes","yes","Expect the shed","These towels SHED I mean a lot... I washed them several times before using and the shed was crazy. After the immediate several 4-6 washes the shedding did stop significantly. I give this product a 4 star rating because they are kinda soft they are quite large and they weren't that expensive! You get what you pay for",4,"-","-","https://www.amazon.com/gp/customer-reviews/R2OIFOOLSF8G5A/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07Y22QK1S","Color: Black"
"Reviewed in Canada on February 24, 2020","Amazon Customer","yes","yes","BASIC","Beautiful color, but false advertising. They are a ""normal"" size, not ""over-sized"" as stated.For the price and the amount, it isn't a bad deal. This is for a guest/childrens bathroom so it is suitable but if you are ordering for an adult bathroom that gets utilized a lot, I would not purchase.Hand towels and face cloths are great, I was just disappointed in the thinness and size of the actual towel.",3,"-","-","-","B07GH7Y4W1","Color: Teal"
