"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on November 10, 2015","Ron Johnson","yes","yes","Could ALL the Reviews Be Right?","After careful research and reading many of the reviews, pro and con for these towels I believe, after having them for the past two months, that everyone is correct. Those who said that these towels were plush and softer after each washing are correct. Those who said you can get as good, or better a towel from the big box stores are also correct. Here's my story. I purchased a set and was happy enough with them that two weeks later, I purchased another set of four. Shortly after the second purchase my wife tells me that Sam's Club is selling a towel that's bigger and looks just as good for $6.99. We've purchased towels from the warehouse folk before and they were like trying to dry off with the front door mat, so I wasn't too worried, but said we would get one just to see how it stood up. Here's the stats: The Amazon towels, (i.e. Soft Touch Linen) are made in Turkey under the brand name Chakir Linen. They measure 49 x 26 and weigh 21 ounces. The Sam's Club towel was sold under the brand name Hotel Luxury Reserve is made in India and measures 54 x 28 and weighs 25.5 ounces. This was after both towels were washed at least twice. The Amazon towel feels slightly thicker, the Sam's Club towel feels slightly softer. The only complaint that my wife had about the Sam's Club towel, it has three ribbings at the end whereas the Amazon towel has only one. She said these strips kind of get in the way. So far all towels are holding up pretty good, no fraying, or loose threads.Also, be weary of the ""also bought"" line. I purchased the ""matching"" hand towels and wash cloths. Only they weren't really matching, not a big deal, but not even the same brand and, I thought, since I'm buying the bath towels they will no doubt just send the other merchandise with them. No. Got the bath towels on the Prime two day free shipping deal. Waited an extra four, or five days for the rest of the stuff, and paid a pretty good shipping fee for them as well.",4,"https://images-na.ssl-images-amazon.com/images/I/71IvjNTjleL.jpg","-","https://www.amazon.com/gp/customer-reviews/R27W5QPYFWV0ZP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
"Reviewed in the United States on May 4, 2014","MiamiTechnoLawyer","yes","yes","Great Towel, Outstanding Value 4.5 Stars","I ordered these towels and an Amazon house brand Pinzon Egyptian Cotton 625 gram weight towel set at the same time.  I was very pleased with both products. This towel is slightly softer, and a little heavier/thicker than the 625 gram Pinzon.  While both towels are the same length the Pinzon is 4 inches wider.  The Pinzon is made in Pakistan and the this towel is made in Turkey a country known for terrycloth robes and towels.  Is this this heaviest, softest, nicest towel I have ever seen.  No.  If you visit a high end department store, you can find a thicker, softer towel, by a designer name that is better but it will cost you well over twenty dollars a towel, twice the price of these.  These towels are a superb value at $10.00 each.  This towel be as good or better as any towel you will find in the $15.00 to $20.00 range at Target, Lands End, and the like.  I am at a loss to  explain the handful of one and two star reviews for this product.  If I had to give category grades I would say  Softness A, Weight A, Size B+/A-, Value A+.  I would order this product again without hesitation.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R34NVM21IVCHGD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
"Reviewed in the United States on February 6, 2019","D. G.","yes","yes","Update after 3.5 years of daily use: Still wonderful condition!","Update after 3.5 years of daily use and weekly wash with bleach: Still like new. None has ever unraveled, including the washcloths and hand towels.UPDATE AFTER 2.5 years of daily use and 2 to 3 weekly wash: They are still like new. I never once had to mend a towel, hand towel or washcloth. They kept their shape and look like new. I use bleach in every wash. Really, that’s one of my best purchase regarding durability/price.I have the bath towels, the hand towels and bath mats and washcloth from the same brand. Absolutely zero issues after 1 year of frequent wash.",5,"https://images-na.ssl-images-amazon.com/images/I/B14MFhHoouS.jpg , https://images-na.ssl-images-amazon.com/images/I/B1BYy27a-pS.jpg , https://images-na.ssl-images-amazon.com/images/I/B1FsTfgrMQS.jpg , https://images-na.ssl-images-amazon.com/images/I/B1l1BUsYw+S.jpg","-","https://www.amazon.com/gp/customer-reviews/R2AM13BC0LG09M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
"Reviewed in the United States on January 1, 2015","Brian","yes","yes","Very nice towels for a good price.","These are very nice and heavy towels. They dry excellent and are very soft. I purchased eight of them and washed them all together. In the future if / when I purchase more I will be sure to lessen the load. These towels had an excessive amount of lint and fuzz coming out of the dry cycle. Since then they seem to wash nicely. Everybody in my household fights over the new towels!Update a year later! (12/23/2015)These towels still remain intact and absorb water and dry nicely! I ordered another eight towels, and our year old towels are definitely not as ""fluffy"" as the new ones, but that is to be expected and are still fantastic towels. Highly recommend these towels for getting as close as you can to a ""hotel quality"" towel. Love them!",4,"https://images-na.ssl-images-amazon.com/images/I/71CHaIKnCNL.jpg , https://images-na.ssl-images-amazon.com/images/I/71uVUD5qfhL.jpg","-","https://www.amazon.com/gp/customer-reviews/RURESKRJBYOME/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
"Reviewed in the United States on October 8, 2019","H. Jones","yes","yes","Not worth $10 a towel! Disappointed.","I am actually shocked that people have given these towels 5 stars.  They are the quality of a $4 towel that would come from Walmart.  They were thin, and definately not ""hotel quality"" towels. I have included a photo of them when they arrived in the packaging next to my womens size 7 1/2 adidas tennis shoe so you can see exactly how non-fluffy these towels are. Definately not worth $10 a towel.  I was trying to buy online but it looks like I am going to have to head to a department store to find the quality that we like in our home.  These are going back to the seller.  Just wanted to help someone else not make the same mistake that I did!",1,"https://images-na.ssl-images-amazon.com/images/I/817FhZkQLXL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2LR6ON1514TET/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
"Reviewed in the United States on December 25, 2016","Amazon Customer","yes","yes","equivalent to a nice hotel or spa quality","Ordered 12 Luxury Hotel & Spa bath towels as well as matching (same brand) 24 face towels, 6 hand towels, and 2 bath mats (44 total towels) on Thursday evening and they arrived on Saturday right before Christmas.  They didn't have any off smells upon arrival and were soft.  I split the laundry into 3 loads using 2 cups of white vinegar (generic brand) for each load and didn't use dryer sheets.  They came out even softer out of the dryer; equivalent to a nice hotel or spa quality.Here's some pics. I included an iron in one so you can put into context how thick the towels are.  Also, as you can see, there were very minimal loose strands that had to be snipped after cleaning all the towels.  Lastly, there was a small palm-sized amount of lint in the dryer's lint screen after every load, which was expected.I'm very happy with the purchase.  The quality, price, and timeliness of delivery deserves 5 stars.",5,"https://images-na.ssl-images-amazon.com/images/I/7180hpXw2DL.jpg , https://images-na.ssl-images-amazon.com/images/I/7180hpXw2DL.jpg , https://images-na.ssl-images-amazon.com/images/I/71RRWfJdzzL.jpg , https://images-na.ssl-images-amazon.com/images/I/71RRWfJdzzL.jpg","-","https://www.amazon.com/gp/customer-reviews/R27X5W7J53WJYT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
"Reviewed in the United States on April 13, 2015","Mark","yes","yes","would not recommend these towels","These towels fraying just after 2 month of..... would not recommend these towels. I tried to contact Soft Touch Linen and they took no responsibility for their towels quote ""you would have to contact Amazon customer service"" Take a look at the photo...",1,"https://images-na.ssl-images-amazon.com/images/I/715huBybEmL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2FXK7BQDKNFGH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
"Reviewed in the United States on March 10, 2015","B. Kellner","yes","yes","I just love them. I want more when I feel like ...","These are so soft & feel luxurious to me. They are absorbent, too. I just love them.  I want more when I feel like I can spend the money. I don't like spending $10 for 1 towel, but these are totally worth it. At some point, I want the wash cloths & hand towels, too.Follow Up: Ordered some more. Didn't get the same design towels. They look the same, except these that I got today have a ribbed design on the ends. I hope they are at least the same quality. I actually ordered these right after I wrote the review above & got a phone case instead. I called, & they sent these out the next day. As long as the quality is the same, I guess it doesn't matter too much to me about the slight design difference. :(",5,"https://images-na.ssl-images-amazon.com/images/I/71B-z8CeSwL.jpg , https://images-na.ssl-images-amazon.com/images/I/71ukazqMcpL.jpg , https://images-na.ssl-images-amazon.com/images/I/71xzi8I2P1L.jpg","-","https://www.amazon.com/gp/customer-reviews/R8Y17NU7XJW97/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
"Reviewed in the United States on January 8, 2017","Madeline P","yes","yes","So fluffy and soft!","I received an Amazon gift card for Christmas and I decided to use it on some nice luxury bath towels (since I wouldn't normally purchase them myself).I decided on these because they had a lot of positive reviews. They were delivered right to my door step from Amazon and I was immediately impressed when I opened the package.After opening, I washed these in cold water on the gentle cycle with Simply Tide, and dried on low heat with a couple of downy dryer sheets (no excessive lint like other reviewers have posted). I folded and put away in my linen closet and the quality is immediately visible compared to my old towels. Three of these towels vs 3 hands towels AND 3 bath towels.",5,"https://images-na.ssl-images-amazon.com/images/I/710HGM4YkYL.jpg , https://images-na.ssl-images-amazon.com/images/I/71QSnZKGInL.jpg","-","https://www.amazon.com/gp/customer-reviews/R1VEI9UC3FZ4SS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
"Reviewed in the United States on February 15, 2018","Amazon Customer","yes","yes","Little white hairs everywhere.","Got white crap all over my clothes and body whenever I first dried off. Now it's over everything.You're not only spending money for the product, but to inflict pain on yourself for having to clean up after it.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R1CBJN7B9R2YSP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07YW41GDJ","B00HTB2XOO","Color: White"
